411,Dugong dugon,Dugong,3
412,Egretta eulophotes,Chinese egret,1
413,Elaphrus viridis,Delta green ground beetle,8
414,Elassoma alabamae,Spring pygmy sunfish,0
415,Elephas maximus,Asian elephant,3
416,Eleutherodactylus cooki,Guajon,9
417,Eleutherodactylus jasperi,Golden coqui,9
418,Eleutherodactylus juanariveroi,Llanero Coqui,9
419,Elimia crenatella,Lacy elimia (snail),2
420,Elliptio chipolaensis,Chipola slabshell,7
421,Elliptio lanceolata,Yellow lance,7
422,Elliptio spinosa,Altamaha Spinymussel,7
423,Elliptio steinstansana,Tar River spinymussel,7
424,Elliptoideus sloatianus,Purple bankclimber (mussel),7
425,Emballonura semicaudata rotensis,Pacific sheath-tailed Bat,3
426,Emballonura semicaudata semicaudata,Pacific sheath-tailed Bat,3
427,Emoia slevini,Slevin's skink,6
428,Empetrichthys latos,Pahrump poolfish,0
429,Empidonax euleri johnstonei,Euler's flycatcher,1
430,Empidonax traillii extimus,Southwestern willow flycatcher,1
431,Enhydra lutris kenyoni,Northern Sea Otter,3
432,Enhydra lutris nereis,Southern sea otter,3
433,Epicrates inornatus,Puerto Rican boa,6
434,Epicrates monensis granti,Virgin Islands tree boa,6
435,Epicrates monensis monensis,Mona boa,6
436,Epicrates subflavus,Jamaican boa,6
437,Epinephelus striatus,Nassau grouper,0
438,Epioblasma brevidens,Cumberlandian combshell,7
439,Epioblasma capsaeformis,Oyster mussel,7
440,Epioblasma florentina curtisii,Curtis pearlymussel,7
441,Epioblasma florentina florentina,Yellow blossom (pearlymussel),7
442,Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,7
443,Epioblasma metastriata,Upland combshell,7
444,Epioblasma obliquata obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),7
445,Epioblasma obliquata perobliqua,White catspaw (pearlymussel),7
446,Epioblasma othcaloogensis,Southern acornshell,7
447,Epioblasma penita,Southern combshell,7
448,Epioblasma torulosa gubernaculum,Green blossom (pearlymussel),7
449,Epioblasma torulosa rangiana,Northern riffleshell,7
450,Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),7
451,Epioblasma triquetra,Snuffbox mussel,7
452,Epioblasma turgidula,Turgid blossom (pearlymussel),7
453,Equus africanus,African wild ass,3
454,Equus grevyi,Grevy's zebra,3
455,Equus hemionus,Asian wild ass,3
456,Equus przewalskii,Przewalski's horse,3
